,level_0,Population Rank,State,Population in 2021,Population in 2020,Total Size Rank,total_size,Land Size Rank,land area,Water Area Rank,water area,Population Density Rank,Population Density,percent_land_area,index,Solar Potential Rank,Sun Index,State Abbreviation,Average Income,2019_BEV_Sales,2019_BEV_Market_Share,2019_PHEV_Sales,2019_PHEV_Market_Share,EV_BEV_PHEV_Share,EV_BEV_PHEV_Sales,income_rank,Sun Index Tier,population density tier,Charging Station Count,EV_station_availability,EV_sales,party_score,state_party_aff_color,income log
20,20.0,19.0,Maryland,6165129.0,6177224.0,42.0,12405.93,42.0,9707.24,18.0,2698.69,6.0,635.1062,0.782467739218261,27.0,17.0,0.84,MD,130850.25,5169,0.0189,1637,0.006,0.024900000000000002,6806,d.120K+,b.<0.9,d.200+,1399,0.2055539230091096,680.6,0.86,3,11.781808818541105
21,21.0,15.0,Massachusetts,6984723.0,7029917.0,44.0,10554.39,45.0,7800.06,16.0,2754.33,4.0,895.47,0.7390346576164043,31.0,18.0,0.83,MA,127044.96,5646,0.016200000000000003,2212,0.0063,0.0225,7858,d.120K+,b.<0.9,d.200+,2412,0.3069483329091372,785.8,0.86,3,11.75229631853997
22,22.0,10.0,Michigan,10050811.0,10077331.0,11.0,96713.51,22.0,56538.9,2.0,40174.61,19.0,177.768,0.584601882405054,44.0,22.0,0.77,MI,98869.62,808,0.0014000000000000002,1022,0.0017000000000000001,0.0031,1830,b.<100K,a.<0.8,c.<200,1132,0.6185792349726776,183.0,0.7600000000000001,2,11.501557291453025
23,23.0,22.0,Minnesota,5707390.0,5706494.0,12.0,86935.83,14.0,79626.74,9.0,7309.09,31.0,71.676,0.9159254590426065,29.0,17.0,0.84,MN,112222.51,2823,0.0108,817,0.0031,0.013900000000000001,3640,c.<120K,b.<0.9,b.<100,594,0.1631868131868132,364.0,0.8600000000000001,3,11.62823887583437
24,24.0,34.0,Mississippi,2949968.0,2961279.0,32.0,48431.78,31.0,46923.27,25.0,1508.51,34.0,62.867,0.9688528895696172,12.0,10.0,0.92,MS,66127.66,167,0.0017000000000000001,106,0.0011,0.0028000000000000004,273,a.< 80K,c.<1.0,b.<100,113,0.4139194139194139,27.3,0.0,0,11.099342395194624
25,25.0,18.0,Missouri,6168187.0,6154913.0,21.0,69706.99,18.0,68741.52,32.0,965.47,29.0,89.73,0.9861495956144427,23.0,14.0,0.87,MO,89400.64,1597,0.0066,456,0.0019,0.0085,2053,b.<100K,b.<0.9,b.<100,1043,0.5080370189965904,205.3,0.0,0,11.40088311997267
26,26.0,43.0,Montana,1104271.0,1084225.0,4.0,147039.71,4.0,145545.8,26.0,1493.91,49.0,7.587,0.989840091496372,24.0,15.0,0.86,MT,81696.69,230,0.0047,88,0.0018,0.006500000000000001,318,b.<100K,b.<0.9,a.<50,98,0.3081761006289308,31.8,0.04,0,11.31076876595149
27,27.0,37.0,Nebraska,1963692.0,1961504.0,16.0,77347.81,15.0,76824.17,41.0,523.64,44.0,25.56,0.9932300604244645,19.0,13.0,0.89,NE,98805.87,372,0.0049,144,0.0019,0.0068000000000000005,516,b.<100K,b.<0.9,a.<50,215,0.4166666666666667,51.6,0.25,1,11.500912294926545
28,28.0,32.0,Nevada,3143991.0,3104614.0,7.0,110571.82,7.0,109781.18,36.0,790.65,43.0,28.638,0.9928495343569455,0.0,1.0,1.19,NV,83588.38,2816,0.020099999999999996,411,0.0029,0.023,3227,b.<100K,d.1+,a.<50,517,0.16021072203284784,322.7,1.0,3,11.333659794196752
29,29.0,41.0,New Hampshire,1388992.0,1377529.0,46.0,9349.16,44.0,8952.65,47.0,396.51,22.0,155.148,0.9575887031562194,32.0,18.0,0.83,NH,111787.94,690,0.008100000000000001,340,0.004,0.0121,1030,c.<120K,b.<0.9,c.<200,191,0.18543689320388348,103.0,0.66,2,11.62435896268605
